time;inlet door drive right motor status S1 slow (1 = on);Inlet side seq is running;zone 1 heating controller setpoint;zone 1 heating controller process value;zone 1 heating controller controller manipulated variable;zone 1 temperature detection wind ahead of charge SP;zone 1 temperature detection wind ahead of charge PV;zone 1 temperature detection wind beyond of charge SP;zone 1 temperature detection wind beyond charge;zone 1 control error temperature wind ahead of charge;zone 1 control error temperature wind beyond of charge;zone 1 combustion air controller setpoint;zone 1 combustion air controller process value;zone 1 combustion air controller controller manipulated variable;zone 1 combustion air control flow metering;zone 1 fuel gas controller setpoint;zone 1 fuel gas controller process value;zone 1 fuel gas controller controller manipulated variable;zone 1 fuel gas control flow metering;zone 1 combustion air/ fuel gas ratio;zone 2 heating controller setpoint;zone 2 heating controller process value;zone 2 heating controller controller manipulated variable;zone 2 temperature detection wind ahead of charge SP;zone 2 temperature detection wind ahead of charge PV;zone 2 temperature detection wind beyond of charge SP;zone 2 temperature detection wind beyond charge;zone 2 control error temperature wind ahead of charge;zone 2 control error temperature wind beyond of charge;zone 2 combustion air controller sepoint;zone 2 combustion air controller controller manipulated variable;zone 2 combustion air control flow metering;zone 2 combustion air controller process value;zone 2 fuel gas controller setpoint;zone 2 fuel gas control flow metering;zone 2 fuel gas controller process value;zone 2 fuel gas controller controller manipulated variable;zone 2 combustion air/ fuel gas ratio;zone 3 heating controller controller manipulated variable;zone 3 heating controller process value;zone 3 heating controller setpoint;zone 3 temperature detection wind ahead of charge PV;zone 3 temperature detection wind ahead of charge SP;zone 3 temperature detection wind beyond of charge SP;zone 3 temperature detection wind beyond charge;zone 3 control error temperature wind beyond of charge;zone 3 control error temperature wind ahead of charge;zone 3 combustion air controller setpoint;zone 3 combustion air controller process value;zone 3 combustion air controller controller manipulated variable;zone 3 combustion air control flow metering;zone 3 fuel gas controller setpoint;zone 3 fuel gas controller process value;zone 3 fuel gas controller controller manipulated variable;zone 3 fuel gas control flow metering;zone 3 combustion air/ fuel gas ratio;zone 4 heating controller setpoint;zone 4 heating controller process value;zone 4 heating controller controller manipulated variable;zone 4 temperature detection wind ahead of charge SP;zone 4 temperature detection wind ahead of charge PV;zone 4 temperature detection wind beyond of charge SP;zone 4 temperature detection wind beyond charge;zone 4 control error temperature wind ahead of charge;zone 4 control error temperature wind beyond of charge;zone 4 combustion air controller setpoint;zone 4 combustion air controller process value;zone 4 combustion air controller controller manipulated variable;zone 4 combustion air control flow metering;zone 4 fuel gas controller setpoint;zone 4 fuel gas controller process value;zone 4 fuel gas controller controller manipulated variable;zone 4 fuel gas control flow metering;zone 4 combustion air/ fuel gas ratio;zone 5 heating controller setpoint;zone 5 heating controller process value;zone 5 heating controller controller manipulated variable;zone 5 temperature detection wind ahead of charge SP;zone 5 temperature detection wind ahead of charge PV;zone 5 temperature detection wind beyond of charge SP;zone 5 temperature detection wind beyond charge;zone 5 control error temperature wind ahead of charge;zone 5 control error temperature wind beyond of charge;zone 5 combustion air controller setpoint;zone 5 combustion air controller process value;zone 5 combustion air controller controller manipulated variable;zone 5 combustion air control flow metering;zone 5 fuel gas controller setpoint;zone 5 fuel gas controller process value;zone 5 fuel gas controller controller manipulated variable;zone 5 fuel gas control flow metering;zone 5 combustion air/ fuel gas ratio;zone 6 heating controller setpoint;zone 6 heating controller process value;zone 6 heating controller controller manipulated variable;zone 6 temperature detection wind ahead of charge SP;zone 6 temperature detection wind ahead of charge PV;zone 6 temperature detection wind beyond of charge SP;zone 6 temperature detection wind beyond charge;zone 6 control error temperature wind ahead of charge;zone 6 control error temperature wind beyond of charge;zone 6 combustion air controller setpoint;zone 6 combustion air controller process value;zone 6 combustion air controller controller manipulated variable;zone 6 combustion air control flow metering;zone 6 fuel gas controller setpoint;zone 6 fuel gas controller process value;zone 6 fuel gas controller controller manipulated variable;zone 6 fuel gas control flow metering;zone 6 combustion air/ fuel gas ratio
10.10.2025 00:03:42.320000;0;0;670;671,4;86,801;670;671,4;645;615,8;-1,40002;29,2;86,801;88,3992;70,821;3536,1;86,801;87,3142;60,9764;286,249;12,3532;670;670,6;69,0602;670;670,6;645;611,3;-0,599976;33,7;69,0602;70,3269;2769,17;69,2049;69,0602;225,769;68,8555;50,2481;12,2655;61,0432;670,3;670;670,3;670;645;617,8;-0,299988;27,2;61,0432;60,9892;62,7552;2500,88;61,0432;60,966;44,7794;200,045;12,5015;670;670,8;54,4197;670;670,8;645;625,8;-0,799988;19,2;54,4197;54,821;59,9837;2193,08;54,4197;54,8901;46,1762;180,04;12,1811;670;670,3;49,7324;670;670,3;645;637,1;-0,299988;7,90002;49,7324;49,7462;51,3636;2121,18;49,7324;50,0992;42,8946;164,377;12,9044;670;670,1;41,5347;670;670,1;645;634,8;-0,0999756;10,2;41,5347;41,7087;45,2694;1710,54;41,5347;41,5162;36,8106;136,238;12,5555
10.10.2025 00:03:42.820000;0;0;670;671,4;86,7915;670;671,4;645;615,7;-1,40002;29,3;86,7915;88,5564;70,5735;3544,31;86,7915;87,1135;61,0322;285,659;12,4075;670;670,7;68,9659;670;670,7;645;611,3;-0,700012;33,7;68,9659;70,3286;2765,84;69,0979;68,9659;225,555;68,7901;50,2417;12,2624;61,0422;670,3;670;670,3;670;645;617,8;-0,299988;27,2;61,0422;61,0227;62,7605;2502,89;61,0422;61,0245;44,7794;200,198;12,5021;670;670,8;54,4146;670;670,8;645;625,8;-0,799988;19,2;54,4146;54,9535;59,9837;2199,82;54,4146;54,8997;46,1454;180,03;12,2192;670;670,2;49,8212;670;670,3;645;637;-0,299988;8;49,8212;49,8286;51,3566;2125,8;49,8212;50,1378;42,896;164,487;12,9238;670;670,1;41,5347;670;670,2;645;634,9;-0,200012;10,1;41,5347;41,7404;45,2979;1711,68;41,5347;41,632;36,8106;136,676;12,5236
10.10.2025 00:03:43.320000;0;0;670;671,3;86,8728;670;671,2;645;615,6;-1,20001;29,4;86,8728;88,4608;70,4691;3542,08;86,8728;86,9841;61,11;285,254;12,4173;670;670,7;68,9616;670;670,7;645;611,3;-0,700012;33,7;68,9616;70,2533;2771,01;69,2302;68,9616;225,287;68,6913;50,2882;12,2999;60,9503;670,4;670;670,5;670;645;617,8;-0,5;27,2;60,9503;61,0416;62,7557;2503,23;60,9503;61,078;44,7682;200,39;12,4918;670;670,8;54,4095;670;670,8;645;625,8;-0,799988;19,2;54,4095;54,8286;59,9837;2194,02;54,4095;54,8159;46,1538;179,785;12,2036;670;670,3;49,7298;670;670,3;645;637;-0,299988;8;49,7298;49,8997;51,3706;2128,37;49,7298;50,2143;42,8076;164,767;12,9174;670;670,2;41,444;670;670,2;645;634,9;-0,200012;10,1;41,444;41,7598;45,302;1712,16;41,444;41,7435;36,722;136,929;12,5039
10.10.2025 00:03:43.820000;0;0;670;671,1;87,0448;670;671,1;645;615,6;-1,09998;29,4;87,0448;88,0025;70,6067;3521,35;87,0448;86,8991;61,1138;284,99;12,356;670;670,7;68,9572;670;670,8;645;611,3;-0,799988;33,7;68,9572;70,252;2769,21;69,2069;68,9572;225,117;68,6567;50,3124;12,3012;60,8575;670,5;670;670,5;670;645;617,8;-0,5;27,2;60,8575;61,0223;62,7801;2505,32;60,8575;61,167;44,686;200,641;12,4866;670;670,6;54,5854;670;670,6;645;625,9;-0,599976;19,1;54,5854;54,861;59,9837;2194,84;54,5854;54,7781;46,226;179,672;12,2158;670;670,3;49,7284;670;670,3;645;637,1;-0,299988;7,90002;49,7284;49,9044;51,4064;2125,83;49,7284;50,2615;42,7603;164,896;12,8919;670;670,2;41,4437;670;670,2;645;635;-0,200012;10;41,4437;41,7872;45,302;1713,96;41,4437;41,8239;36,7135;137,259;12,487
10.10.2025 00:03:44.320000;0;0;670;671;87,1276;670;671;645;615,6;-1;29,4;87,1276;87,4526;70,8828;3494,07;87,1276;86,8001;61,1751;284,679;12,2737;670;670,8;68,8622;670;670,8;645;611,3;-0,799988;33,7;68,8622;70,1334;2773,15;69,3119;68,8622;224,896;68,5659;50,3232;12,3308;60,7646;670,6;670;670,6;670;645;617,5;-0,599976;27,5;60,7646;61,3247;62,7231;2515,66;60,7646;61,1564;44,6757;200,631;12,5387;670;670,7;54,4913;670;670,7;645;626;-0,700012;19;54,4913;54,8114;59,9837;2196,37;54,4913;54,7141;46,2064;179,398;12,243;670;670,3;49,7269;670;670,3;645;637,1;-0,299988;7,90002;49,7269;49,9065;51,4021;2128,79;49,7269;50,2183;42,7485;164,652;12,9291;670;670,2;41,443;670;670,2;645;635;-0,200012;10;41,443;41,8161;45,302;1713,82;41,443;41,8531;36,6452;137,227;12,489
10.10.2025 00:03:44.820000;0;0;670;670,9;87,2111;670;670,9;645;615,6;-0,900024;29,4;87,2111;87,05;71,0365;3482,75;87,2111;86,7874;61,1985;284,583;12,2381;670;670,9;68,7669;670;670,9;645;611,3;-0,900024;33,7;68,7669;70,0532;2775,89;69,3335;68,7669;224,887;68,5759;50,2929;12,3435;60,8506;670,5;670;670,5;670;645;617,4;-0,5;27,6;60,8506;61,2756;62,7532;2512,96;60,8506;61,1762;44,5706;200,595;12,5276;670;670,7;54,4869;670;670,8;645;626,1;-0,799988;18,9;54,4869;54,9686;59,8936;2201,7;54,4869;54,7009;46,2024;179,372;12,2745;670;670,3;49,7254;670;670,3;645;637,1;-0,299988;7,90002;49,7254;49,9601;51,3274;2131,12;49,7254;50,1059;42,7702;164,24;12,9757;670;670,2;41,4423;670;670,1;645;635;-0,0999756;10;41,4423;41,7727;45,302;1712,67;41,4423;41,8013;36,6472;137,057;12,4961
10.10.2025 00:03:45.320000;0;0;670;670,9;87,2053;670;670,9;645;615,6;-0,900024;29,4;87,2053;86,8417;71,1798;3474,7;87,2053;86,7048;61,1542;284,392;12,218;670;670,9;68,7611;670;670,9;645;611,3;-0,900024;33,7;68,7611;69,9752;2775,27;69,4172;68,7611;224,79;68,5415;50,3118;12,346;60,7573;670,6;670;670,7;670;645;617,2;-0,700012;27,8;60,7573;61,252;62,722;2511,86;60,7573;61,0968;44,6221;200,384;12,5352;670;670,9;54,3018;670;670,9;645;626,1;-0,900024;18,9;54,3018;55,0846;59,802;2204,59;54,3018;54,6624;46,1696;179,318;12,2943;670;670,3;49,724;670;670,4;645;637,1;-0,400024;7,90002;49,724;49,9645;51,3047;2130,85;49,724;49,9551;42,8164;163,724;13,0149;670;670,2;41,442;670;670,2;645;635,1;-0,200012;9,90002;41,442;41,7332;45,302;1711,39;41,442;41,7272;36,6651;136,762;12,5136
10.10.2025 00:03:45.820000;0;0;670;670,9;87,1998;670;670,9;645;615,6;-0,900024;29,4;87,1998;86,5951;71,3257;3465,03;87,1998;86,7294;61,1261;284,485;12,18;670;671;68,6649;670;671;645;611,3;-1;33,7;68,6649;69,9387;2777,66;69,3337;68,6649;224,947;68,5734;50,2689;12,3481;60,663;670,7;670;670,7;670;645;617;-0,700012;28;60,663;61,15;62,7477;2507,63;60,663;61,0878;44,5674;200,317;12,5183;670;671;54,206;670;671;645;626,2;-1;18,8;54,206;55,1447;59,7846;2206,03;54,206;54,7264;46,0866;179,528;12,2879;670;670,4;49,6319;670;670,4;645;637,1;-0,400024;7,90002;49,6319;49,9645;51,2762;2130,33;49,6319;49,8103;42,8297;163,352;13,0413;670;670,2;41,4417;670;670,2;645;635,1;-0,200012;9,90002;41,4417;41,7648;45,2889;1712,82;41,4417;41,6392;36,7307;136,577;12,5411
10.10.2025 00:03:46.320000;0;0;670;670,7;87,3744;670;670,7;645;615,5;-0,700012;29,5;87,3744;86,6048;71,4396;3464,65;87,3744;86,7199;61,1328;284,454;12,18;670;671;68,6584;670;671;645;611,3;-1;33,7;68,6584;69,8748;2776,87;69,3741;68,6584;224,802;68,5331;50,2802;12,3526;60,5682;670,8;670;670,8;670;645;617;-0,799988;28;60,5682;61,3028;62,6508;2514,02;60,5682;61,018;44,5353;200,1;12,5638;670;671;54,1994;670;671;645;626,3;-1;18,7;54,1994;54,9565;59,8629;2202,49;54,1994;54,7208;46,0224;179,471;12,2721;670;670,4;49,6292;670;670,4;645;637,1;-0,400024;7,90002;49,6292;49,9803;51,2105;2131,16;49,6292;49,7081;42,8581;163,042;13,0712;670;670,2;41,4404;670;670,2;645;635,1;-0,200012;9,90002;41,4404;41,8661;45,1837;1716,51;41,4404;41,5467;36,6874;136,273;12,5961
10.10.2025 00:03:46.820000;0;0;670;670,7;87,3701;670;670,7;645;615,6;-0,700012;29,4;87,3701;86,6841;71,4401;3472,83;87,3701;86,7055;61,1368;284,368;12,2124;670;671;68,6519;670;671;645;611,3;-1;33,7;68,6519;69,8467;2773,9;69,3397;68,6519;224,946;68,5694;50,2702;12,3314;60,6531;670,7;670;670,7;670;645;617;-0,700012;28;60,6531;61,4157;62,5564;2517,59;60,6531;60,9719;44,5297;199,898;12,5944;670;671;54,1929;670;671;645;626,3;-1;18,7;54,1929;55,0841;59,7862;2205,52;54,1929;54,7255;45,9898;179,506;12,2866;670;670,3;49,7178;670;670,3;645;637,1;-0,299988;7,90002;49,7178;50,0494;51,1681;2134,11;49,7178;49,6344;42,8581;162,768;13,1113;670;670,3;41,3496;670;670,3;645;635,1;-0,299988;9,90002;41,3496;41,8194;45,1845;1714,93;41,3496;41,5238;36,6952;136,216;12,5898
