time,cycle,phase,x_inlet_door_right_slow,x_inlet_side_seq_running,z1_temp_sp,z1_temp_pv,z1_temp_mv,z1_wind_ahead_sp,z1_wind_ahead_pv,z1_wind_beyond_sp,z1_wind_beyond_pv,z1_err_ahead_err,z1_err_beyond_err,z1_air_sp,z1_air_pv,z1_air_mv,z1_air_flow,z1_gas_sp,z1_gas_pv,z1_gas_mv,z1_gas_flow,z1_ratio_ratio,z2_temp_sp,z2_temp_pv,z2_temp_mv,z2_wind_ahead_sp,z2_wind_ahead_pv,z2_wind_beyond_sp,z2_wind_beyond_pv,z2_err_ahead_err,z2_err_beyond_err,z2_air_sp,z2_air_mv,z2_air_flow,z2_air_pv,z2_gas_sp,z2_gas_flow,z2_gas_pv,z2_gas_mv,z2_ratio_ratio,z3_temp_mv,z3_temp_pv,z3_temp_sp,z3_wind_ahead_pv,z3_wind_ahead_sp,z3_wind_beyond_sp,z3_wind_beyond_pv,z3_err_beyond_err,z3_err_ahead_err,z3_air_sp,z3_air_pv,z3_air_mv,z3_air_flow,z3_gas_sp,z3_gas_pv,z3_gas_mv,z3_gas_flow,z3_ratio_ratio,z4_temp_sp,z4_temp_pv,z4_temp_mv,z4_wind_ahead_sp,z4_wind_ahead_pv,z4_wind_beyond_sp,z4_wind_beyond_pv,z4_err_ahead_err,z4_err_beyond_err,z4_air_sp,z4_air_pv,z4_air_mv,z4_air_flow,z4_gas_sp,z4_gas_pv,z4_gas_mv,z4_gas_flow,z4_ratio_ratio,z5_temp_sp,z5_temp_pv,z5_temp_mv,z5_wind_ahead_sp,z5_wind_ahead_pv,z5_wind_beyond_sp,z5_wind_beyond_pv,z5_err_ahead_err,z5_err_beyond_err,z5_air_sp,z5_air_pv,z5_air_mv,z5_air_flow,z5_gas_sp,z5_gas_pv,z5_gas_mv,z5_gas_flow,z5_ratio_ratio,z6_temp_sp,z6_temp_pv,z6_temp_mv,z6_wind_ahead_sp,z6_wind_ahead_pv,z6_wind_beyond_sp,z6_wind_beyond_pv,z6_err_ahead_err,z6_err_beyond_err,z6_air_sp,z6_air_pv,z6_air_mv,z6_air_flow,z6_gas_sp,z6_gas_pv,z6_gas_mv,z6_gas_flow,z6_ratio_ratio,score_iforest_z1,flag_iforest_z1,score_iforest_z2,flag_iforest_z2,score_iforest_z3,flag_iforest_z3,score_iforest_z4,flag_iforest_z4,score_iforest_z5,flag_iforest_z5,score_iforest_z6,flag_iforest_z6
2025-10-10T21:30:00.320,,,0,1,670,461.5,50,670,461.5,645,396.1,208.5,248.9,50,49.7526,51.4443,1991.07,50,48.8274,47.402,160.141,12.4333,670,507.5,83.3333,670,507.5,645,441.5,162.5,203.5,83.3333,76.2865,3270.49,81.7615,83.3333,266.158,81.1615,60.8613,12.2877,83.3333,561.1,670,561.1,670,645,493,108.9,152,83.3333,82.0823,83.5552,3366.01,83.3333,81.6029,60.6207,267.658,12.5758,670,579.5,83.3333,670,579.5,645,523.1,90.5,121.9,83.3333,81.8302,87.6619,3274.04,83.3333,81.4154,64.0622,267.017,12.2615,670,595.1,100,670,595.1,645,545.9,74.9,99.1,100,83.2715,100,3551.04,100,83.3296,62.4985,273.334,12.9916,600,604.1,25.4278,600,604.1,600,562.2,-4.09998,37.8,25.4278,42.1435,42.9363,1725.01,25.4278,35.2093,32.9987,115.307,14.9601,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
2025-10-10T21:30:02.320,,,0,1,670,461.5,50,670,461.5,645,396.4,208.5,248.6,50,49.4765,51.6255,1979.69,50,48.7928,47.5257,160.04,12.37,670,507,83.3333,670,507,645,441.4,163,203.6,83.3333,77.0211,3252.53,81.2328,83.3333,266.512,81.2497,60.7018,12.2041,83.3333,560.8,670,560.8,670,645,492.6,109.2,152.4,83.3333,81.8906,83.9869,3356.88,83.3333,81.6717,60.5588,267.87,12.5317,670,579.7,83.3333,670,579.8,645,523.2,90.2,121.8,83.3333,81.535,88.1779,3262.67,83.3333,81.3317,64.0584,266.768,12.2304,670,595,100,670,595,645,546,75,99,100,83.2223,100,3548.11,100,83.4807,62.405,273.842,12.9568,600,603.6,25.7678,600,603.6,600,562.6,-3.59998,37.4,25.7678,39.551,41.3916,1619.51,25.7678,32.9023,32.2055,107.715,15.0352,0.0000,0,0.0090,0,0.0054,0,0.0036,0,0.0018,0,0.0090,0
2025-10-10T21:30:04.320,,,0,1,670,461.5,50,670,461.5,645,396.8,208.5,248.2,50,50.2012,51.4097,2009.81,50,49.5497,47.599,162.671,12.355,670,506.8,83.3333,670,506.8,645,441.6,163.2,203.4,83.3333,77.2139,3272.69,81.7527,83.3333,268.671,81.8848,60.6848,12.1811,83.3333,560.6,670,560.6,670,645,492.6,109.4,152.4,83.3333,82.291,84.0953,3376.17,83.3333,82.17,60.5513,269.581,12.5238,670,579.8,83.3333,670,579.8,645,523.1,90.2,121.9,83.3333,82.4527,88.0771,3303.08,83.3333,81.8926,64.2555,268.696,12.293,670,594.8,100,670,594.8,645,546,75.2,99,100,83.7761,100,3573.65,100,84.0806,62.3203,275.899,12.9528,600,602.9,26.307,600,602.9,600,562.6,-2.90002,37.4,26.307,37.6367,39.805,1540.87,26.307,30.952,31.2456,100.989,15.2578,0.0000,0,0.0143,0,0.0096,0,0.0060,0,0.0048,0,0.0204,0
2025-10-10T21:30:06.320,,,0,1,670,462.2,50,670,462.2,645,397.7,207.8,247.3,50,50.6152,51.4539,2026.54,50,50.7695,47.1378,166.588,12.1649,670,507.1,83.3333,670,507.1,645,442.1,162.9,202.9,83.3333,77.2369,3294.09,82.2474,83.3333,271.317,82.6875,60.5303,12.1411,83.3333,560.7,670,560.7,670,645,492.4,109.3,152.6,83.3333,83.9797,83.3776,3442.05,83.3333,83.0039,60.7293,272.407,12.6357,670,580,83.3333,670,580,645,522.8,90,122.2,83.3333,83.7013,87.5841,3353.23,83.3333,82.8711,64.3827,271.945,12.3305,670,595.4,100,670,595.4,645,545.9,74.6,99.1,100,84.6572,100,3611.22,100,84.9023,62.3288,278.582,12.9629,600,601.9,27.1389,600,601.9,600,562.4,-1.90002,37.6,27.1389,35.5886,38.6149,1455.58,27.1389,29.6953,30.7597,97.2341,14.9699,0.0063,0,0.0142,0,0.0107,0,0.0089,0,0.0064,0,0.0349,0
2025-10-10T21:30:08.320,,,0,1,670,463.2,50,670,463.2,645,398.3,206.8,246.7,50,50.6763,51.6425,2029.46,50,51.0235,46.7887,167.293,12.1312,670,507.6,83.3333,670,507.6,645,442.3,162.4,202.7,83.3333,76.9226,3331.43,83.1941,83.3333,272.58,83.0842,60.6011,12.2218,83.3333,561,670,561.1,670,645,492.1,108.9,152.9,83.3333,84.4093,83.13,3457.9,83.3333,83.5531,60.5912,274.08,12.6164,670,580.1,83.3333,670,580.1,645,522.6,89.9,122.4,83.3333,83.9387,87.5101,3359.85,83.3333,83.6078,64.1809,274.349,12.2466,670,596,100,670,596,645,546,74,99,100,84.9908,100,3627.2,100,85.2177,62.2578,279.488,12.978,600,600.6,28.2739,600,600.6,600,561.9,-0.599976,38.1,28.2739,33.8845,38.0347,1386.71,28.2739,29.3645,30.7807,96.2772,14.4034,0.0172,0,0.0123,0,0.0091,0,0.0114,0,0.0116,0,0.0528,0
2025-10-10T21:30:10.320,,,0,1,670,463.8,50,670,463.8,645,399,206.2,246,50,50.7673,51.3445,2030.07,50,50.3406,46.9062,165.002,12.3033,670,507.9,83.3333,670,507.9,645,442,162.1,203,83.3333,76.7111,3354.1,83.7694,83.3333,273.141,83.259,60.605,12.2797,83.3333,561.1,670,561.1,670,645,492.5,108.9,152.5,83.3333,84.0347,83.2974,3442.06,83.3333,83.7785,60.4306,274.781,12.5266,670,579.9,83.3333,670,579.9,645,522.5,90.1,122.5,83.3333,84.1012,87.5079,3366.03,83.3333,83.8254,64.0004,274.96,12.2419,670,596.6,100,670,596.6,645,546,73.4,99,100,85.1197,100,3630.15,100,85.0207,62.3053,278.817,13.0198,600,599.8,28.8091,600,599.8,600,561.7,0.200012,38.3,28.8091,32.6336,37.7351,1336.53,28.8091,29.3871,30.853,96.3257,13.8751,0.0280,0,0.0128,0,0.0077,0,0.0117,0,0.0186,0,0.0692,0
2025-10-10T21:30:12.320,,,0,1,670,464.4,50,670,464.4,645,399.6,205.6,245.4,50,50.6401,51.1248,2025.94,50,49.9585,46.9857,163.832,12.3659,670,508.4,83.3333,670,508.4,645,442.2,161.6,202.8,83.3333,76.26,3376.24,84.3282,83.3333,273.25,83.3071,60.605,12.3558,83.3333,561.2,670,561.3,670,645,493.1,108.7,151.9,83.3333,83.7251,83.3686,3433.4,83.3333,83.7954,60.3221,274.775,12.4953,670,580.4,83.3333,670,580.4,645,522.4,89.6,122.6,83.3333,84.0787,87.4303,3360.49,83.3333,83.7641,63.9226,274.711,12.2328,670,596.9,100,670,596.9,645,545.9,73.1,99.1,100,85.1016,100,3627.93,100,84.9673,62.3375,278.606,13.0217,600,599.3,29.2709,600,599.3,600,561.5,0.700012,38.5,29.2709,32.1886,37.22,1318.45,29.2709,29.368,30.9779,96.2596,13.6969,0.0386,0,0.0156,0,0.0072,0,0.0145,0,0.0251,0,0.0831,0
2025-10-10T21:30:14.320,,,0,1,670,465,50,670,465.1,645,400.2,204.9,244.8,50,50.5131,51.0886,2020.4,50,49.8054,47.0366,163.368,12.3672,670,508.8,83.3333,670,508.8,645,442.7,161.2,202.3,83.3333,75.9544,3378.17,84.4484,83.3333,273.24,83.3046,60.605,12.3634,83.3333,561.5,670,561.5,670,645,493.5,108.5,151.5,83.3333,84.2832,83.0848,3456.6,83.3333,83.6758,60.289,274.419,12.5961,670,580.7,83.3333,670,580.7,645,523,89.3,122,83.3333,84.2605,87.3155,3372.41,83.3333,83.8281,63.7991,274.97,12.2646,670,597.4,100,670,597.4,645,546,72.6,99,100,85.0871,100,3627.18,100,84.9024,62.388,278.468,13.0255,600,599.1,29.4728,600,599.1,600,561.5,0.900024,38.5,29.4728,31.4401,37.1362,1287.45,29.4728,29.4168,30.9962,96.4189,13.3526,0.0560,0,0.0224,0,0.0094,0,0.0205,0,0.0366,0,0.1077,0
2025-10-10T21:30:16.320,,,0,1,670,465.3,50,670,465.3,645,400.3,204.7,244.7,50,50.3426,51.0969,2014.15,50,49.7369,47.1025,163.201,12.3415,670,509.3,83.3333,670,509.3,645,443.4,160.7,201.6,83.3333,76.0875,3357.81,83.9118,83.3333,273.449,83.3687,60.605,12.2795,83.3333,561.4,670,561.3,670,645,493.4,108.7,151.6,83.3333,83.6883,83.298,3431.38,83.3333,83.6421,60.2333,274.323,12.5086,670,581,83.3333,670,581,645,523.6,89,121.4,83.3333,83.9618,87.3924,3358.54,83.3333,83.8023,63.6918,274.861,12.219,670,597.2,100,670,597.2,645,546.1,72.8,98.9,100,84.9696,100,3623.91,100,84.9702,62.3703,278.704,13.0027,600,598.8,29.7722,600,598.8,600,561.5,1.20001,38.5,29.7722,31.1667,36.9729,1277.83,29.7722,29.4054,31.1047,96.476,13.2451,0.0748,0,0.0290,0,0.0094,0,0.0269,0,0.0464,0,0.1308,0
2025-10-10T21:30:18.320,,,0,1,670,465.2,50,670,465.2,645,399.7,204.8,245.3,50,50.2688,51.0843,2011.24,50,49.6755,47.1754,162.948,12.3428,670,509.3,83.3333,670,509.3,645,443.6,160.7,201.4,83.3333,75.9006,3363.69,84.0507,83.3333,273.272,83.3187,60.605,12.3089,83.3333,561.4,670,561.4,670,645,493.6,108.6,151.4,83.3333,83.7027,83.2718,3432.29,83.3333,83.5492,60.2244,274.029,12.5253,670,581.3,83.3333,670,581.3,645,524.2,88.7,120.8,83.3333,83.9781,87.2678,3359.67,83.3333,83.6078,63.6963,274.221,12.2517,670,597.3,100,670,597.3,645,546.2,72.7,98.8,100,85.0527,100,3625.69,100,85.0497,62.3818,279.014,12.9946,600,598.5,30.0764,600,598.5,600,561.7,1.5,38.3,30.0764,30.7411,37.0803,1259.27,30.0764,29.3958,31.3071,96.431,13.0588,0.0927,0,0.0344,0,0.0085,0,0.0342,0,0.0556,0,0.1515,0
